episode,reward,length,crash_rate,difficulty,training_step,reward_ma10,length_ma10,crash_rate_ma10
1,7.0454,126.0,1.0,0.0,1,7.0454,126.0,1.0
2,4.9949,135.0,1.0,0.0,2,6.02015,130.5,1.0
3,9.1541,138.0,1.0,0.0,3,7.064800000000001,133.0,1.0
4,11.3979,157.0,1.0,0.0,4,8.148075,139.0,1.0
5,9.5298,160.0,1.0,0.0,5,8.424420000000001,143.2,1.0
6,11.0362,161.0,1.0,0.0,6,8.859716666666666,146.16666666666666,1.0
7,14.5304,161.0,1.0,0.0,7,9.669814285714285,148.28571428571428,1.0
8,9.5197,162.0,1.0,0.0,8,9.65105,150.0,1.0
9,13.1487,163.0,1.0,0.0,9,10.039677777777777,151.44444444444446,1.0
10,12.5545,163.0,1.0,0.0,10,10.29116,152.6,1.0
11,10.9017,174.0,1.0,0.0,11,10.67679,157.4,1.0
12,9.4725,174.0,1.0,0.0,12,11.12455,161.3,1.0
13,12.6343,181.0,1.0,0.0,13,11.472570000000001,165.6,1.0
14,17.5013,187.0,1.0,0.0,14,12.082910000000002,168.6,1.0
15,20.956,207.0,1.0,0.0,15,13.225530000000001,173.3,1.0
16,17.4817,219.0,1.0,0.0,16,13.870080000000002,179.1,1.0
17,16.757,222.0,1.0,0.0,17,14.092740000000001,185.2,1.0
18,17.6294,262.0,1.0,0.0,18,14.90371,195.2,1.0
19,28.2988,268.0,1.0,0.0,19,16.41872,205.7,1.0
20,31.0903,273.0,1.0,0.0,20,18.272299999999998,216.7,1.0
21,30.7129,283.0,1.0,0.0,21,20.25342,227.6,1.0
22,8.2197,129.0,1.0,0.0,22,20.12814,223.1,1.0
23,29.412,292.0,1.0,0.0,23,21.80591,234.2,1.0
24,31.5788,294.0,1.0,0.0,24,23.21366,244.9,1.0
25,37.534,303.0,1.0,0.0,25,24.87146,254.5,1.0
26,17.9132,172.0,1.0,0.0,26,24.91461,249.8,1.0
27,40.4959,354.0,1.0,0.0,27,27.2885,263.0,1.0
28,11.0171,176.0,1.0,0.0,28,26.62727,254.4,1.0
29,39.139,359.0,1.0,0.0,29,27.711289999999998,263.5,1.0
30,20.9249,222.0,1.0,0.0,30,26.69475,258.4,1.0
31,18.3775,210.0,1.0,0.0,31,25.46121,251.1,1.0
32,25.3813,229.0,1.0,0.0,32,27.177370000000003,261.1,1.0
33,3.4366,108.0,1.0,0.0,33,24.579829999999998,242.7,1.0
34,3.5955,121.0,1.0,0.0,34,21.7815,225.4,1.0
35,42.4763,411.0,1.0,0.0,35,22.27573,236.2,1.0
36,30.5476,267.0,1.0,0.0,36,23.539170000000002,245.7,1.0
37,50.1706,425.0,1.0,0.0,37,24.506639999999997,252.8,1.0
38,49.5774,431.0,1.0,0.0,38,28.36267,278.3,1.0
39,52.0148,433.0,1.0,0.0,39,29.65025,285.7,1.0
40,58.053,436.0,1.0,0.0,40,33.363060000000004,307.1,1.0
41,14.8591,163.0,1.0,0.0,41,33.01122,302.4,1.0
42,27.6542,285.0,1.0,0.0,42,33.238510000000005,308.0,1.0
43,29.6164,293.0,1.0,0.0,43,35.85649,326.5,1.0
44,20.76,253.0,1.0,0.0,44,37.57294,339.7,1.0
45,23.857,249.0,1.0,0.0,45,35.71101,323.5,1.0
46,19.9622,210.0,1.0,0.0,46,34.65247,317.8,1.0
47,34.8684,320.0,1.0,0.0,47,33.122249999999994,307.3,1.0
48,31.0628,297.0,1.0,0.0,48,31.270789999999998,293.9,1.0
49,22.0018,229.0,1.0,0.0,49,28.269489999999998,273.5,1.0
50,8.3507,145.0,1.0,0.0,50,23.299259999999997,244.4,1.0
51,35.704,343.0,1.0,0.0,51,25.38375,262.4,1.0
52,9.2872,154.0,1.0,0.0,52,23.547050000000002,249.3,1.0
53,46.2483,397.0,1.0,0.0,53,25.21024,259.7,1.0
54,7.7523,131.0,1.0,0.0,54,23.90947,247.5,1.0
55,2.5135,90.0,1.0,0.0,55,21.775119999999998,231.6,1.0
56,9.1709,148.0,1.0,0.0,56,20.69599,225.4,1.0
57,13.695,213.0,1.0,0.0,57,18.578650000000003,214.7,1.0
58,8.2747,142.0,1.0,0.0,58,16.29984,199.2,1.0
59,17.2636,193.0,1.0,0.0,59,15.82602,195.6,1.0
60,16.2025,213.0,1.0,0.0,60,16.611200000000004,202.4,1.0
61,15.9207,181.0,1.0,0.0,61,14.63287,186.2,1.0
62,24.8166,209.0,1.0,0.0,62,16.185809999999996,191.7,1.0
63,66.6412,555.0,1.0,0.0,63,18.2251,207.5,1.0
64,21.8042,211.0,1.0,0.0,64,19.630290000000002,215.5,1.0
65,44.5517,397.0,1.0,0.0,65,23.83411,246.2,1.0
66,33.1221,278.0,1.0,0.0,66,26.22923,259.2,1.0
67,39.2199,291.0,1.0,0.0,67,28.78172,267.0,1.0
68,62.1802,484.0,1.0,0.0,68,34.172270000000005,301.2,1.0
69,44.113,357.0,1.0,0.0,69,36.85721,317.6,1.0
70,25.6553,273.0,1.0,0.0,70,37.80249,323.6,1.0
71,9.7277,131.0,1.0,0.0,71,37.18319,318.6,1.0
72,13.77,165.0,1.0,0.0,72,36.07853,314.2,1.0
73,43.3883,357.0,1.0,0.0,73,33.75324,294.4,1.0
74,23.0802,273.0,1.0,0.0,74,33.88084,300.6,1.0
75,64.1071,509.0,1.0,0.0,75,35.83638,311.8,1.0
76,52.2153,438.0,1.0,0.0,76,37.7457,327.8,1.0
77,34.3142,287.0,1.0,0.0,77,37.255129999999994,327.4,1.0
78,14.9728,206.0,1.0,0.0,78,32.534389999999995,299.6,1.0
79,38.6862,339.0,1.0,0.0,79,31.99171,297.8,1.0
80,19.9242,202.0,1.0,0.0,80,31.418599999999998,290.7,1.0
81,31.5886,268.0,1.0,0.0,81,33.60469,304.4,1.0
82,25.7985,244.0,1.0,0.0,82,34.80754,312.3,1.0
83,58.6395,498.0,1.0,0.0,83,36.33266,326.4,1.0
84,65.0849,547.0,1.0,0.0,84,40.53313,353.8,1.0
85,144.0131,1000.0,0.0,0.0,85,48.52373,402.9,0.9
86,38.813,336.0,1.0,0.0,86,47.183499999999995,392.7,0.9
87,62.4199,555.0,1.0,0.0,87,49.99407,419.5,0.9
88,29.3272,268.0,1.0,0.0,88,51.42951000000001,425.7,0.9
89,93.5038,689.0,1.0,0.0,89,56.91127,460.7,0.9
90,35.4924,329.0,1.0,0.0,90,58.468090000000004,473.4,0.9
91,21.203,209.0,1.0,0.0,91,57.42953,467.5,0.9
92,18.8588,205.0,1.0,0.0,92,56.73556,463.6,0.9
93,40.3541,364.0,1.0,0.0,93,54.90702,450.2,0.9
94,101.4457,783.0,1.0,0.0,94,58.5431,473.8,0.9
95,59.4695,472.0,1.0,0.0,95,50.08874,421.0,1.0
96,50.3793,400.0,1.0,0.0,96,51.24537,427.4,1.0
97,92.3875,666.0,1.0,0.0,97,54.242129999999996,438.5,1.0
98,11.1728,172.0,1.0,0.0,98,52.426689999999994,428.9,1.0
99,44.5321,356.0,1.0,0.0,99,47.529520000000005,395.6,1.0
100,15.9835,182.0,1.0,0.0,100,45.57863,380.9,1.0
101,26.3285,261.0,1.0,0.0,101,46.09118,386.1,1.0
102,10.2763,154.0,1.0,0.0,102,45.232929999999996,381.0,1.0
103,15.2385,166.0,1.0,0.0,103,42.72137,361.2,1.0
104,9.0312,132.0,1.0,0.0,104,33.47992000000001,296.1,1.0
105,128.9009,906.0,1.0,0.0,105,40.42306,339.5,1.0
106,9.1314,161.0,1.0,0.0,106,36.29827,315.6,1.0
107,93.8872,664.0,1.0,0.0,107,36.448240000000006,315.4,1.0
108,10.486,152.0,1.0,0.0,108,36.379560000000005,313.4,1.0
109,17.8513,186.0,1.0,0.0,109,33.71148,296.4,1.0
110,43.5413,353.0,1.0,0.0,110,36.46726,313.5,1.0
111,49.8725,379.0,1.0,0.0,111,38.82166,325.3,1.0
112,59.7912,489.0,1.0,0.0,112,43.77315,358.8,1.0
113,80.34,595.0,1.0,0.0,113,50.283300000000004,401.7,1.0
114,83.9195,544.0,1.0,0.0,114,57.772130000000004,442.9,1.0
115,14.8712,157.0,1.0,0.0,115,46.36916000000001,368.0,1.0
116,136.9107,933.0,1.0,0.0,116,59.147090000000006,445.2,1.0
117,17.7964,190.0,1.0,0.0,117,51.53801,397.8,1.0
118,31.3421,277.0,1.0,0.0,118,53.623619999999995,410.3,1.0
119,5.8073,117.0,1.0,0.0,119,52.419219999999996,403.4,1.0
120,10.8492,142.0,1.0,0.0,120,49.150009999999995,382.3,1.0
121,74.9918,543.0,1.0,0.0,121,51.661939999999994,398.7,1.0
122,32.1705,299.0,1.0,0.0,122,48.89986999999999,379.7,1.0
123,80.769,591.0,1.0,0.0,123,48.942769999999996,379.3,1.0
124,28.1932,263.0,1.0,0.0,124,43.370140000000006,351.2,1.0
125,15.7261,198.0,1.0,0.0,125,43.45563,355.3,1.0
126,6.6657,127.0,1.0,0.0,126,30.431130000000003,274.7,1.0
127,15.3117,166.0,1.0,0.0,127,30.18266,272.3,1.0
128,111.6913,766.0,1.0,0.0,128,38.21758,321.2,1.0
129,54.7969,414.0,1.0,0.0,129,43.11654,350.9,1.0
130,39.2173,338.0,1.0,0.0,130,45.95335,370.5,1.0
131,31.7331,274.0,1.0,0.0,131,41.62748,343.6,1.0
132,18.2172,209.0,1.0,0.0,132,40.232150000000004,334.6,1.0
133,24.7709,215.0,1.0,0.0,133,34.632340000000006,297.0,1.0
134,22.4346,241.0,1.0,0.0,134,34.05648,294.8,1.0
135,30.0771,248.0,1.0,0.0,135,35.49158,299.8,1.0
136,22.9388,237.0,1.0,0.0,136,37.11889,310.8,1.0
137,114.279,792.0,1.0,0.0,137,47.01562,373.4,1.0
138,115.4788,778.0,1.0,0.0,138,47.39437,374.6,1.0
139,8.7123,140.0,1.0,0.0,139,42.78591,347.2,1.0
140,3.6795,109.0,1.0,0.0,140,39.23213,324.3,1.0
141,18.0269,183.0,1.0,0.0,141,37.861509999999996,315.2,1.0
142,28.9171,257.0,1.0,0.0,142,38.9315,320.0,1.0
143,21.0881,188.0,1.0,0.0,143,38.56322,317.3,1.0
144,31.531,272.0,1.0,0.0,144,39.47286,320.4,1.0
145,15.3947,145.0,1.0,0.0,145,38.00462,310.1,1.0
146,27.6791,246.0,1.0,0.0,146,38.47865,311.0,1.0
147,5.6978,121.0,1.0,0.0,147,27.620530000000002,243.9,1.0
148,48.1379,373.0,1.0,0.0,148,20.88644,203.4,1.0
149,106.6667,690.0,1.0,0.0,149,30.68188,258.4,1.0
150,40.5893,276.0,1.0,0.0,150,34.372859999999996,275.1,1.0
151,29.6945,211.0,1.0,0.0,151,35.53962,277.9,1.0
152,19.8774,191.0,1.0,0.0,152,34.635650000000005,271.3,1.0
153,10.3602,128.0,1.0,0.0,153,33.56286000000001,265.3,1.0
154,18.5436,186.0,1.0,0.0,154,32.264120000000005,256.7,1.0
155,18.6454,184.0,1.0,0.0,155,32.58919,260.6,1.0
156,5.322,104.0,1.0,0.0,156,30.35348,246.4,1.0
157,36.3531,250.0,1.0,0.0,157,33.41901,259.3,1.0
158,18.0346,156.0,1.0,0.0,158,30.408679999999997,237.6,1.0
159,67.8091,467.0,1.0,0.0,159,26.52292,215.3,1.0
160,91.6962,649.0,1.0,0.0,160,31.633609999999997,252.6,1.0
