episode,reward,length,crash_rate,difficulty
1,7.0454,126.0,1.0,0.0000
2,4.9949,135.0,1.0,0.0000
3,9.1541,138.0,1.0,0.0000
4,11.3979,157.0,1.0,0.0000
5,9.5298,160.0,1.0,0.0000
6,11.0362,161.0,1.0,0.0000
7,14.5304,161.0,1.0,0.0000
8,9.5197,162.0,1.0,0.0000
9,13.1487,163.0,1.0,0.0000
10,12.5545,163.0,1.0,0.0000
11,10.9017,174.0,1.0,0.0000
12,9.4725,174.0,1.0,0.0000
13,12.6343,181.0,1.0,0.0000
14,17.5013,187.0,1.0,0.0000
15,20.9560,207.0,1.0,0.0000
16,17.4817,219.0,1.0,0.0000
17,16.7570,222.0,1.0,0.0000
18,17.6294,262.0,1.0,0.0000
19,28.2988,268.0,1.0,0.0000
20,31.0903,273.0,1.0,0.0000
21,30.7129,283.0,1.0,0.0000
22,8.2197,129.0,1.0,0.0000
23,29.4120,292.0,1.0,0.0000
24,31.5788,294.0,1.0,0.0000
25,37.5340,303.0,1.0,0.0000
26,17.9132,172.0,1.0,0.0000
27,40.4959,354.0,1.0,0.0000
28,11.0171,176.0,1.0,0.0000
29,39.1390,359.0,1.0,0.0000
30,20.9249,222.0,1.0,0.0000
31,18.3775,210.0,1.0,0.0000
32,25.3813,229.0,1.0,0.0000
33,3.4366,108.0,1.0,0.0000
34,3.5955,121.0,1.0,0.0000
35,42.4763,411.0,1.0,0.0000
36,30.5476,267.0,1.0,0.0000
37,50.1706,425.0,1.0,0.0000
38,49.5774,431.0,1.0,0.0000
39,52.0148,433.0,1.0,0.0000
40,58.0530,436.0,1.0,0.0000
41,14.8591,163.0,1.0,0.0000
42,27.6542,285.0,1.0,0.0000
43,29.6164,293.0,1.0,0.0000
44,20.7600,253.0,1.0,0.0000
45,23.8570,249.0,1.0,0.0000
46,19.9622,210.0,1.0,0.0000
47,34.8684,320.0,1.0,0.0000
48,31.0628,297.0,1.0,0.0000
49,22.0018,229.0,1.0,0.0000
50,8.3507,145.0,1.0,0.0000
51,35.7040,343.0,1.0,0.0000
52,9.2872,154.0,1.0,0.0000
53,46.2483,397.0,1.0,0.0000
54,7.7523,131.0,1.0,0.0000
55,2.5135,90.0,1.0,0.0000
56,9.1709,148.0,1.0,0.0000
57,13.6950,213.0,1.0,0.0000
58,8.2747,142.0,1.0,0.0000
59,17.2636,193.0,1.0,0.0000
60,16.2025,213.0,1.0,0.0000
61,15.9207,181.0,1.0,0.0000
62,24.8166,209.0,1.0,0.0000
63,66.6412,555.0,1.0,0.0000
64,21.8042,211.0,1.0,0.0000
65,44.5517,397.0,1.0,0.0000
66,33.1221,278.0,1.0,0.0000
67,39.2199,291.0,1.0,0.0000
